id,abbr,name
0,,outside the brain
1,1,"layer 1 of cortex"
2,10Cb,"10th cerebellar lobule (nodule)"
3,10N,"dorsal motor nucleus of vagus"
4,10n,"vagus nerve"
5,11N,"accessory nerve nucleus"
6,12GH,"hypoglossal nucleus, geniohyoid part"
7,12N,"hypoglossal nucleus"
8,12n,"hypoglossal nerve"
9,1Cb,"1st cerebellar lobule (lingula)"
10,2,"layer 2 of cortex"
11,2Cb,"2nd cerebellar lobule"
12,3,"layer 3 of cortex"
13,3Cb,"3rd cerebellar lobule"
14,3N,"oculomotor nucleus"
15,3PC,"oculomotor nucleus, parvicellular part"
16,3V,"3rd ventricle"
17,3n,"oculomotor nerve"
18,4,"layer 4 of cortex"
19,4Cb,"4th cerebellar lobule"
20,4N,"trochlear nucleus"
21,4Sh,"trochlear nuclues shell region"
22,4V,"4th ventricle"
23,4n,"trochlear nerve"
24,5ADi,"motor trigeminal nucleus, anterior digastric part"
25,5Cb,"5th cerebellar lobule"
26,5N,"motor trigeminal nucleus"
27,5Sol,"trigeminal-solitary transition zone"
28,5TT,"motor trigeminal nucleus, tensor tympani part"
29,5Tr,"trigeminal transition zone"
30,6Cb,"6th cerebellar lobule"
31,6N,"abducens nucleus"
32,6n,"abducens nerve"
33,7Cb,"7th cerebellar lobule"
34,7DI,"facial nucleus, dorsal intermediate subnucleus"
35,7DL,"facial nucleus, dorsolateral subnucleus"
36,7DM,"facial nucleus, dorsomedial subnucleus"
37,7L,"facial nucleus, lateral subnucleus"
38,7VI,"facial nucleus, ventral intermediate subnucleus"
39,7VM,"facial nucleus, ventromedial subnucleus"
40,7n,"facial nerve"
41,8Cb,"8th cerebellar lobule"
42,8n,"vestibulocochlear nerve"
43,9Cb,"9th cerebellar lobule"
44,9N,"glossopharyngeal nerve nucleus"
45,9aCb,"9th cerebellar lobule, a"
46,9cCb,"9th cerebellar lobule, c"
47,A11,"A11 dopamine cells"
48,A13,"A13 dopamine cells"
49,A5,"A5 noradrenaline cells"
50,AA,"anterior amygdaloid area"
51,ACo,"anterior cortical amygdaloid nucleus"
52,AD,"anterodorsal thalamic nucleus"
53,AHA,"anterior hypothalamic area, anterior part"
54,AHC,"anterior hypothalamic area, central part"
55,AHP,"anterior hypothalamic area, posterior part"
56,AHi,"amygdalohippocampal area"
57,AI,"agranular insular cortex"
58,AM,"anteromedial thalamic nucleus"
59,AMV,"anteromedial thalamic nucleus, ventral part"
60,ANS,"accessory neurosecretory nuclei"
61,AOD,"anterior olfactory nucleus, dorsal part"
62,AOE,"anterior olfactory nucleus, external part"
63,AOL,"anterior olfactory nucleus, lateral part"
64,AOM,"anterior olfactory nucleus, medial part"
65,AOP,"anterior olfactory nucleus, posterior part"
66,AOV,"anterior olfactory nucleus, ventral part"
67,AOVP,"anterior olfactory nucleus, ventroposterior part"
68,AP,"area postrema"
69,APT,"anterior pretectal nucleus"
70,APTD,"anterior pretectal nucleus, dorsal part"
71,APTV,"anterior pretectal nucleus, ventral part"
72,APir,"amygdalopiriform transition area"
73,ASt,"amygdalostriatal transition area"
74,ATg,"anterior tegmental nucleus"
75,AV,"anteroventral thalamic nucleus"
76,AVDM,"anterovent thalamic nucleus, dorsomedial part"
77,AVPe,"anteroventral periventricular nucleus"
78,AVVL,"anteroventral thalamic nucleus, ventrolateral part"
79,AcbC,"accumbens nucleus, core"
80,AcbSh,"accumbens nucleus, shell"
81,AmbC,"ambiguus nucleus, compact part"
82,AmbL,"ambiguus nucleus, loose part"
83,AmbSC,"ambiguus nucleus, subcompact part"
84,AngT,"angular thalamic nucleus"
85,Aq,"aqueduct"
86,Arc,"arcuate hypothalamic nucleus"
87,Au1,"primary auditory cortex"
88,AuD,"secondary auditory cortex, dorsal area"
89,AuV,"secondary auditory cortex, ventral area"
90,B,"basal nucleus (Meynert)"
91,BAC,"bed nucleus of the anterior commissure"
92,BAOT,"bed nucleus of the accessory olfactory tract"
93,BIC,"nucleus of the brachium of the inferior colliculus"
94,BLA,"basolateral amygdaloid nucleus, anterior part"
95,BLP,"basolateral amygdaloid nucleus, posterior part"
96,BLV,"basolateral amygdaloid nucleus, ventral part"
97,BMA,"basomedial amygdaloid nucleus, anterior part"
98,BMP,"basomedial amygdaloid nucleus, posterior part"
99,Bar,"Barrington’s nucleus"
100,Bo,"Bötzinger complex"
101,CA1,"field CA1 of the hippocampus"
102,CA2,"field CA2 of the hippocampus"
103,CA3,"field CA3 of the hippocampus"
104,CAT,"nucleus of the central acoustic tract"
105,CB,"cell bridges of the ventral striatum"
106,CC,"central canal"
107,CEnt,"caudomedial entothinal cortex"
108,CG,"central gray"
109,CGA,"central gray, alpha part"
110,CGB,"central gray, beta part"
111,CGG,"central gray, gamma part"
112,CGO,"central gray, nucleus O"
113,CGPn,"central gray of the pons"
114,CIC,"central nucleus of the inferior colliculus"
115,CL,"centrolateral thalamic nucleus"
116,CLi,"caudal linear nucleus of the raphe"
117,CM,"central medial thalamic nucleus"
118,CPO,"caudal periolivary nucleus"
119,CPu,"caudate putamen (striatum)"
120,CVL,"caudoventrolateral reticular nucleus"
121,CeC,"central amygdaloid nucleus, capsular part"
122,CeCv,"central cervical nucleus of the spinal cord"
123,CeL,"central amygdaloid nucleus, lateral division"
124,CeM,"central amygdaloid nucleus, medial division"
125,Cg1,"cingulate cortex, area 1"
126,Cg2,"cingulate cortex, area 2"
127,Cl,"claustrum"
128,CnF,"cuneiform nucleus"
129,Cop,"copula of the pyramis"
130,Crus1,"crus 1 of the ansiform lobule"
131,Crus2,"crus 2 of the ansiform lobule"
132,Cu,"cuneate nucleus"
133,CuR,"cuneate nucleus, rotundus part"
134,CxA,"cortex-amygdala transition zone"
135,DA,"dorsal hypothalamic area"
136,DCDp,"dorsal cochlear nucleus, deep core"
137,DCFu,"dorsal cochlear nucleus, fusiform layer"
138,DCIC,"dorsal cortex of the inferior colliculus"
139,DCMo,"dorsal cochlear nucleus, molecular layer"
140,DCl,"dorsal part of claustrum"
141,DEn,"dorsal endopiriform nucleus"
142,DG,"dentate gyrus"
143,DI,"dysgranular insular cortex"
144,DLG,"dorsal lateral geniculate nucleus"
145,DLO,"dorsolateral orbital cortex"
146,DLPAG,"dorsolateral periaqueductal gray"
147,DLPO,"dorsolateral periolivary nucleus"
148,DM,"dorsomedial hypothalamic nucleus"
149,DMC,"dorsomedial hypothalamic nucleus, compact part"
150,DMD,"dorsomedial hypothalamic nucleus, dorsal part"
151,DMIC,"dorsomedial nucleus of the inferior colliculus"
152,DMPAG,"dorsomedial periaqueductal gray"
153,DMSp5,"dorsomedial spinal trigeminal nucleus"
154,DMTg,"dorsomedial tegmental area"
155,DMV,"dorsomedial hypothalamic nucleus, ventral part"
156,DNLL,"dorsal nucleus of the lateral lemniscus"
157,DP,"dorsal peduncular cortex"
158,DPGi,"dorsal paragigantocellular nucleus"
159,DPO,"dorsal periolivary nucleus"
160,DR,"dorsal raphe nucleus"
161,DRC,"dorsal raphe nucleus, caudal part"
162,DRD,"dorsal raphe nucleus, dorsal part"
163,DRL,"dorsal raphe nucleus, lateral part"
164,DRV,"dorsal raphe nucleus, ventral part"
